index,Voltas_WindowAC,Whirlpool_splitAir,Total_energy_consumed,Timezone
0,0.074262636,0.077345796,0.151608432,20-08-2020 21.35
1,0.087890753,0.080211803,0.168102556,20-08-2020 22.35
2,0.092127192,0,0.092127192,20-08-2020 23.35
3,0.029164165,0,0.029164165,21-08-2020 0.35
4,0.172156038,0,0.172156038,21-08-2020 1.35
5,0.031518506,0,0.031518506,21-08-2020 2.35
6,0.281272595,0,0.281272595,21-08-2020 3.35
7,0.094227652,0,0.094227652,21-08-2020 4.35
8,0.193041726,0.494986987,0.688028713,21-08-2020 5.35
9,0.044306686,0.876474713,0.920781399,21-08-2020 6.35
10,0,0.891351849,0.891351849,21-08-2020 7.35
11,0,0.206197958,0.206197958,21-08-2020 8.35
12,0,0,0,21-08-2020 9.35
13,0,0,0,21-08-2020 10.35
14,0,0,0,21-08-2020 11.35
15,0,0,0,21-08-2020 12.35
16,0,0.564454,0.564454,21-08-2020 13.35
17,0,0,0,21-08-2020 14.35
18,0,0,0,21-08-2020 15.35
19,0,0,0,21-08-2020 16.35
20,0,0,0,21-08-2020 17.35
21,1.371888987,0,1.371888987,21-08-2020 18.35
22,0.442985747,0.1,0.542985747,21-08-2020 19.35
23,0.782593217,0,0.782593217,21-08-2020 20.35
24,0.623211145,0,0.623211145,21-08-2020 21.35
